task,sample,core,gff,time,memory
bamtoh5,248306899,1,1000,118.59380000000002,1660.9280000000003
bamtoh5,248306899,2,1000,81.7782,4222.976
bamtoh5,248306899,4,1000,61.497,6270.156800000001
bamtoh5,248306899,8,1000,47.4724,10827.9808
bamtoh5,248306899,16,1000,40.5118,19441.049600000002
bamtoh5,248306899,32,1000,38.951,33336.1152
hisat2orf,248306899,1,1000,37.4356,353.375
hisat2orf,248306899,2,1000,28.288600000000002,421.379
hisat2orf,248306899,4,1000,27.386000000000003,557.387
hisat2orf,248306899,8,1000,24.3468,829.402
hisat2orf,248306899,16,1000,27.262400000000003,1373.184
hisat2orf,248306899,32,1000,28.891399999999997,2461.696
samviewsort,248306899,1,1000,4.3942,989.965
samviewsort,248306899,2,1000,3.658,1892.352
samviewsort,248306899,4,1000,3.9745999999999997,2395.3486666666668
samviewsort,248306899,8,1000,3.1016000000000004,2800.3556
samviewsort,248306899,16,1000,3.0629999999999997,13736.96
samviewsort,248306899,32,1000,3.1558,18817.1
bamtoh5,248306899,1,2000,237.9042,1964.032
bamtoh5,248306899,2,2000,160.78640000000001,4630.937599999999
bamtoh5,248306899,4,2000,109.753,7353.1392
bamtoh5,248306899,8,2000,79.83300000000001,11959.5008
bamtoh5,248306899,16,2000,72.542,20555.5712
bamtoh5,248306899,32,2000,69.4318,37087.231999999996
hisat2orf,248306899,1,2000,42.1536,366.363
hisat2orf,248306899,2,2000,33.6446,434.367
hisat2orf,248306899,4,2000,27.4808,570.375
hisat2orf,248306899,8,2000,23.5868,842.375
hisat2orf,248306899,16,2000,28.74,1386.496
hisat2orf,248306899,32,2000,27.2682,2473.984
samviewsort,248306899,1,2000,8.1836,1014.184
samviewsort,248306899,2,2000,7.9396,1866.9568
samviewsort,248306899,4,2000,5.5886000000000005,2745.1732
samviewsort,248306899,8,2000,5.4154,5199.866599999999
samviewsort,248306899,16,2000,5.3402,7631.6458
samviewsort,248306899,32,2000,5.288600000000001,20078.153400000003
bamtoh5,248306899,1,4000,471.5448,2541.568
bamtoh5,248306899,2,4000,313.6456,7208.345600000001
bamtoh5,248306899,4,4000,218.26639999999998,8959.3856
bamtoh5,248306899,8,4000,152.37779999999998,13764.608000000002
bamtoh5,248306899,16,4000,141.1142,23131.136
bamtoh5,248306899,32,4000,120.3614,39156.531200000005
hisat2orf,248306899,1,4000,46.5342,392.422
hisat2orf,248306899,2,4000,35.921800000000005,460.42600000000004
hisat2orf,248306899,4,4000,28.989600000000003,596.434
hisat2orf,248306899,8,4000,24.906,868.434
hisat2orf,248306899,16,4000,29.7332,1412.096
hisat2orf,248306899,32,4000,29.663600000000002,2500.608
samviewsort,248306899,1,4000,13.671600000000002,1062.912
samviewsort,248306899,2,4000,11.708,2064.1791999999996
samviewsort,248306899,4,4000,9.997200000000001,3435.7248
samviewsort,248306899,8,4000,8.366,6858.3423999999995
samviewsort,248306899,16,4000,9.235000000000001,12669.5424
samviewsort,248306899,32,4000,8.5778,25018.163200000003
bamtoh5,248306899,1,6000,757.1586,3154.5344000000005
bamtoh5,248306899,2,6000,475.0968,8213.503999999999
bamtoh5,248306899,4,6000,334.9814,10185.9328
bamtoh5,248306899,8,6000,230.76220000000004,15647.5392
bamtoh5,248306899,16,6000,204.527,23993.958400000003
bamtoh5,248306899,32,6000,174.1842,42019.840000000004
hisat2orf,248306899,1,6000,55.606399999999994,418.895
hisat2orf,248306899,2,6000,38.001999999999995,486.898
hisat2orf,248306899,4,6000,36.720600000000005,622.906
hisat2orf,248306899,8,6000,25.979200000000002,894.906
hisat2orf,248306899,16,6000,31.313599999999997,1438.72
hisat2orf,248306899,32,6000,31.096599999999995,2527.232
samviewsort,248306899,1,6000,19.6154,1062.912
samviewsort,248306899,2,6000,15.903,2050.4576
samviewsort,248306899,4,6000,14.2546,3629.2608
samviewsort,248306899,8,6000,11.4618,6548.8895999999995
samviewsort,248306899,16,6000,13.5016,12718.079999999998
samviewsort,248306899,32,6000,12.238000000000001,25511.935999999998
bamtoh5,977663477,1,1000,130.5994,1745.92
bamtoh5,977663477,2,1000,90.17120000000001,4018.1759999999995
bamtoh5,977663477,4,1000,65.6126,6415.36
bamtoh5,977663477,8,1000,49.882000000000005,10635.264
bamtoh5,977663477,16,1000,45.60519999999999,18929.049600000002
bamtoh5,977663477,32,1000,39.9086,35246.2848
hisat2orf,977663477,1,1000,150.167,353.375
hisat2orf,977663477,2,1000,119.49780000000001,421.3678
hisat2orf,977663477,4,1000,104.261,557.3838
hisat2orf,977663477,8,1000,103.80500000000002,829.3961999999999
hisat2orf,977663477,16,1000,105.97620000000002,1373.184
hisat2orf,977663477,32,1000,113.0574,2461.696
samviewsort,977663477,1,1000,14.008799999999999,1051.09
samviewsort,977663477,2,1000,11.9356,2011.7504000000001
samviewsort,977663477,4,1000,10.2494,3696.8448
samviewsort,977663477,8,1000,10.087,6745.7024
samviewsort,977663477,16,1000,9.097999999999999,13107.4048
samviewsort,977663477,32,1000,9.1098,25852.928
bamtoh5,977663477,1,2000,256.6698,2060.2879999999996
bamtoh5,977663477,2,2000,172.4676,5061.222400000001
bamtoh5,977663477,4,2000,129.08499999999998,7337.7792
bamtoh5,977663477,8,2000,82.7192,11849.932799999999
bamtoh5,977663477,16,2000,73.819,20241.2032
bamtoh5,977663477,32,2000,70.5668,37194.1376
hisat2orf,977663477,1,2000,163.26799999999997,366.363
hisat2orf,977663477,2,2000,132.24339999999998,434.358
hisat2orf,977663477,4,2000,115.78399999999999,570.3606
hisat2orf,977663477,8,2000,91.75480000000002,842.375
hisat2orf,977663477,16,2000,113.37939999999999,1386.496
hisat2orf,977663477,32,2000,114.5826,2473.984
samviewsort,977663477,1,2000,32.9696,1096.4991999999997
samviewsort,977663477,2,2000,21.613599999999998,2193.408
samviewsort,977663477,4,2000,20.392599999999998,3827.9168
samviewsort,977663477,8,2000,19.546,6835.8144
samviewsort,977663477,16,2000,17.847,13226.3936
samviewsort,977663477,32,2000,17.509999999999998,26671.104
bamtoh5,977663477,1,4000,512.6138,2643.1488
bamtoh5,977663477,2,4000,313.6654,6534.5536
bamtoh5,977663477,4,4000,218.1006,8941.568000000001
bamtoh5,977663477,8,4000,166.07260000000002,13502.8736
bamtoh5,977663477,16,4000,136.11180000000002,21695.487999999998
bamtoh5,977663477,32,4000,124.6576,39302.9632
hisat2orf,977663477,1,4000,182.49960000000002,392.422
hisat2orf,977663477,2,4000,132.4042,460.4116
hisat2orf,977663477,4,4000,113.9094,596.4244000000001
hisat2orf,977663477,8,4000,103.51100000000001,868.441
hisat2orf,977663477,16,4000,115.625,1412.096
hisat2orf,977663477,32,4000,120.0192,2500.608
samviewsort,977663477,1,4000,59.652,1078.4768
samviewsort,977663477,2,4000,42.617000000000004,2202.4192
samviewsort,977663477,4,4000,33.4534,4033.3312000000005
samviewsort,977663477,8,4000,29.8548,7353.753599999999
samviewsort,977663477,16,4000,29.509800000000002,13835.264000000001
samviewsort,977663477,32,4000,30.592000000000002,26231.6032
bamtoh5,977663477,1,6000,794.8691999999999,3254.272
bamtoh5,977663477,2,6000,485.42240000000004,8173.158399999998
bamtoh5,977663477,4,6000,320.8556,9578.7008
bamtoh5,977663477,8,6000,243.5094,15171.583999999999
bamtoh5,977663477,16,6000,195.8062,22248.6528
bamtoh5,977663477,32,6000,182.209,41803.57119999999
hisat2orf,977663477,1,6000,204.08620000000002,422.2214
hisat2orf,977663477,2,6000,137.6936,486.88919999999996
hisat2orf,977663477,4,6000,109.00019999999999,622.8954
hisat2orf,977663477,8,6000,103.451,894.9091999999998
hisat2orf,977663477,16,6000,123.4808,1438.72
hisat2orf,977663477,32,6000,118.61600000000001,2527.232
samviewsort,977663477,1,6000,85.06739999999999,1098.5472
samviewsort,977663477,2,6000,59.53340000000001,2205.696
samviewsort,977663477,4,6000,50.7532,4059.136
samviewsort,977663477,8,6000,42.2826,7366.8607999999995
samviewsort,977663477,16,6000,42.1244,14059.315200000001
samviewsort,977663477,32,6000,44.115199999999994,27452.620799999997
bamtoh5,3587510789,1,1000,177.5265,2011.6480000000001
bamtoh5,3587510789,2,1000,110.762,4708.352
bamtoh5,3587510789,4,1000,85.89266666666667,6816.085333333333
bamtoh5,3587510789,8,1000,65.70666666666666,11127.807999999999
bamtoh5,3587510789,16,1000,51.88066666666666,19233.450666666668
bamtoh5,3587510789,32,1000,52.44766666666667,35315.02933333333
hisat2orf,3587510789,1,1000,727.4056666666667,353.367
hisat2orf,3587510789,2,1000,362.46133333333336,421.3790000000001
hisat2orf,3587510789,4,1000,479.161,557.387
hisat2orf,3587510789,8,1000,496.57733333333334,829.402
hisat2orf,3587510789,16,1000,535.4943333333333,1373.184
hisat2orf,3587510789,32,1000,444.086,2461.696
samviewsort,3587510789,1,1000,71.86633333333333,1078.272
samviewsort,3587510789,2,1000,54.40133333333333,2200.2346666666667
samviewsort,3587510789,4,1000,43.19133333333334,4058.1119999999996
samviewsort,3587510789,8,1000,40.985,7404.543999999999
samviewsort,3587510789,16,1000,37.94466666666666,14096.384
samviewsort,3587510789,32,1000,34.59799999999999,27241.471999999998
bamtoh5,3587510789,1,2000,354.7436666666667,2663.424
bamtoh5,3587510789,2,2000,229.59533333333334,4867.072
bamtoh5,3587510789,4,2000,145.789,7586.133333333334
bamtoh5,3587510789,8,2000,129.804,12542.634666666667
bamtoh5,3587510789,16,2000,83.68266666666666,21886.63466666667
bamtoh5,3587510789,32,2000,70.19933333333334,37922.816
hisat2orf,3587510789,1,2000,819.732,366.355
hisat2orf,3587510789,2,2000,589.1163333333334,434.3643333333334
hisat2orf,3587510789,4,2000,491.5996666666667,570.375
hisat2orf,3587510789,8,2000,728.5203333333334,842.3830000000002
hisat2orf,3587510789,16,2000,551.9946666666666,1386.496
hisat2orf,3587510789,32,2000,456.3333333333333,2473.984
samviewsort,3587510789,1,2000,148.25699999999998,1078.272
samviewsort,3587510789,2,2000,110.64133333333332,2206.378666666667
samviewsort,3587510789,4,2000,93.77933333333333,4082.346666666667
samviewsort,3587510789,8,2000,85.82966666666668,7767.381333333334
samviewsort,3587510789,16,2000,75.00866666666667,14460.245333333334
samviewsort,3587510789,32,2000,68.08833333333332,27520.341333333334
bamtoh5,3587510789,1,4000,774.937,1833.4405
bamtoh5,3587510789,2,4000,409.5306666666667,6430.72
bamtoh5,3587510789,4,4000,278.512,8781.824
bamtoh5,3587510789,8,4000,198.43633333333332,14317.909333333335
bamtoh5,3587510789,16,4000,190.35999999999999,22830.762666666666
bamtoh5,3587510789,32,4000,127.10466666666667,40895.488000000005
hisat2orf,3587510789,1,4000,784.702,392.422
hisat2orf,3587510789,2,4000,628.2780000000001,460.426
hisat2orf,3587510789,4,4000,517.0736666666667,596.434
hisat2orf,3587510789,8,4000,482.905,868.449
hisat2orf,3587510789,16,4000,698.6176666666667,1412.0960000000002
hisat2orf,3587510789,32,4000,481.3346666666667,2500.608
samviewsort,3587510789,1,4000,250.55425,1061.73175
samviewsort,3587510789,2,4000,194.54866666666666,2212.864
samviewsort,3587510789,4,4000,173.51433333333333,4343.125333333333
samviewsort,3587510789,8,4000,154.09799999999998,7857.151999999999
samviewsort,3587510789,16,4000,142.38333333333333,15206.4
samviewsort,3587510789,32,4000,121.69533333333334,28654.592
bamtoh5,3587510789,1,6000,835.5856666666667,3816.4480000000003
bamtoh5,3587510789,2,6000,613.7206666666667,7157.759999999999
bamtoh5,3587510789,4,6000,358.547,9466.538666666667
bamtoh5,3587510789,8,6000,273.40433333333334,14778.709333333334
bamtoh5,3587510789,16,6000,277.71433333333334,25267.88266666667
bamtoh5,3587510789,32,6000,183.40499999999997,44134.74133333333
hisat2orf,3587510789,1,6000,742.4720000000001,418.895
hisat2orf,3587510789,2,6000,632.706,486.89799999999997
hisat2orf,3587510789,4,6000,415.5416666666667,622.906
hisat2orf,3587510789,8,6000,471.5753333333333,894.922
hisat2orf,3587510789,16,6000,687.0876666666667,1438.72
hisat2orf,3587510789,32,6000,501.3776666666666,2527.232
samviewsort,3587510789,1,6000,412.9355,1140.3946666666666
samviewsort,3587510789,2,6000,295.78099999999995,2271.5733333333333
samviewsort,3587510789,4,6000,206.45299999999997,4132.181333333334
samviewsort,3587510789,8,6000,189.39433333333332,7879.3386666666665
samviewsort,3587510789,16,6000,204.785,15434.069333333333
samviewsort,3587510789,32,6000,177.11866666666666,28419.754666666664
bamtoh5,7686160172,1,1000,201.17399999999998,2539.3152
bamtoh5,7686160172,2,1000,140.9238,4857.856
bamtoh5,7686160172,4,1000,86.33279999999999,7146.9056
bamtoh5,7686160172,8,1000,79.1854,11258.4704
bamtoh5,7686160172,16,1000,69.452,17898.496000000003
bamtoh5,7686160172,32,1000,56.42139999999999,35776.7168
hisat2orf,7686160172,1,1000,1330.034,369.2368
hisat2orf,7686160172,2,1000,902.5529999999999,423.64
hisat2orf,7686160172,4,1000,754.8246,557.387
hisat2orf,7686160172,8,1000,778.3428,829.3929999999998
hisat2orf,7686160172,16,1000,1148.7344,1170.432
hisat2orf,7686160172,32,1000,868.1451999999999,2461.696
samviewsort,7686160172,1,1000,125.77179999999998,1127.424
samviewsort,7686160172,2,1000,92.8874,2247.6800000000003
samviewsort,7686160172,4,1000,72.6494,4086.5792
samviewsort,7686160172,8,1000,69.7212,7788.544
samviewsort,7686160172,16,1000,76.7128,14651.1872
samviewsort,7686160172,32,1000,61.2958,27825.561599999997
bamtoh5,7686160172,1,2000,336.6514,2954.6495999999997
bamtoh5,7686160172,2,2000,221.53019999999998,5851.136
bamtoh5,7686160172,4,2000,143.8002,8006.4512
bamtoh5,7686160172,8,2000,121.84459999999999,13275.545600000001
bamtoh5,7686160172,16,2000,91.9358,22549.504
bamtoh5,7686160172,32,2000,82.6748,39471.7184
hisat2orf,7686160172,1,2000,1188.8318,366.363
hisat2orf,7686160172,2,2000,909.8316000000001,434.367
hisat2orf,7686160172,4,2000,762.275,570.375
hisat2orf,7686160172,8,2000,789.914,842.375
hisat2orf,7686160172,16,2000,884.4201999999999,1386.496
hisat2orf,7686160172,32,2000,898.6772000000001,2473.984
samviewsort,7686160172,1,2000,236.32959999999997,1077.4528
samviewsort,7686160172,2,2000,173.4546,2283.7248
samviewsort,7686160172,4,2000,140.7222,4156.006399999999
samviewsort,7686160172,8,2000,153.9928,8022.4256
samviewsort,7686160172,16,2000,126.2692,15287.5008
samviewsort,7686160172,32,2000,121.7094,28568.985600000004
bamtoh5,7686160172,1,4000,681.7764,3645.8496
bamtoh5,7686160172,2,4000,451.3664,6778.060800000001
bamtoh5,7686160172,4,4000,269.2546,9025.3312
bamtoh5,7686160172,8,4000,198.65879999999999,14358.323200000003
bamtoh5,7686160172,16,4000,163.0402,23933.952
bamtoh5,7686160172,32,4000,140.9808,42666.5984
hisat2orf,7686160172,1,4000,1567.2105999999999,351.90860000000004
hisat2orf,7686160172,2,4000,930.8790000000001,460.42600000000004
hisat2orf,7686160172,4,4000,783.9124,596.434
hisat2orf,7686160172,8,4000,779.2280000000001,868.449
hisat2orf,7686160172,16,4000,821.2774000000002,1412.096
hisat2orf,7686160172,32,4000,927.7127999999999,2500.608
samviewsort,7686160172,1,4000,474.65959999999995,1112.2688
samviewsort,7686160172,2,4000,341.2374,2283.3152
samviewsort,7686160172,4,4000,266.21819999999997,4247.1424
samviewsort,7686160172,8,4000,245.6228,8053.145600000001
samviewsort,7686160172,16,4000,234.2256,15451.750399999999
samviewsort,7686160172,32,4000,220.2174,30182.1952
bamtoh5,7686160172,1,6000,1051.9276,4546.5599999999995
bamtoh5,7686160172,2,6000,629.5754,8465.2032
bamtoh5,7686160172,4,6000,396.2374,10357.759999999998
bamtoh5,7686160172,8,6000,289.51480000000004,16538.419199999997
bamtoh5,7686160172,16,6000,222.1098,25927.8848
bamtoh5,7686160172,32,6000,191.63,45674.0864
hisat2orf,7686160172,1,6000,1669.2882000000002,378.3816
hisat2orf,7686160172,2,6000,998.6528000000001,486.898
hisat2orf,7686160172,4,6000,769.1204,622.906
hisat2orf,7686160172,8,6000,809.119,894.9220000000001
hisat2orf,7686160172,16,6000,924.9152,1438.72
hisat2orf,7686160172,32,6000,954.9734000000001,2527.232
samviewsort,7686160172,1,6000,663.6554000000001,1135.0016
samviewsort,7686160172,2,6000,473.591,2213.888
samviewsort,7686160172,4,6000,396.78100000000006,4258.2016
samviewsort,7686160172,8,6000,358.6762,8240.9472
samviewsort,7686160172,16,6000,326.3504,15491.072
samviewsort,7686160172,32,6000,317.36080000000004,31153.356799999998
bamtoh5,11487672747,1,1000,236.45659999999998,2855.7312
bamtoh5,11487672747,2,1000,136.6596,5690.777599999999
bamtoh5,11487672747,4,1000,116.35799999999999,7651.532799999999
bamtoh5,11487672747,8,1000,90.71379999999999,11780.3008
bamtoh5,11487672747,16,1000,71.49879999999999,20146.3808
bamtoh5,11487672747,32,1000,66.8018,35999.9488
hisat2orf,11487672747,1,1000,1979.0978,353.359
hisat2orf,11487672747,2,1000,1145.5880000000002,421.363
hisat2orf,11487672747,4,1000,1373.872,557.371
hisat2orf,11487672747,8,1000,1331.3398,829.387
hisat2orf,11487672747,16,1000,1292.8042,1373.184
hisat2orf,11487672747,32,1000,1367.0683999999999,2461.696
samviewsort,11487672747,1,1000,203.918,1078.272
samviewsort,11487672747,2,1000,150.1368,2251.5712
samviewsort,11487672747,4,1000,111.32000000000001,4129.9968
samviewsort,11487672747,8,1000,98.0796,8064.2047999999995
samviewsort,11487672747,16,1000,97.1294,14455.3984
samviewsort,11487672747,32,1000,94.0042,27774.5664
bamtoh5,11487672747,1,2000,453.17740000000003,3196.9280000000003
bamtoh5,11487672747,2,2000,290.0014,5833.9328
bamtoh5,11487672747,4,2000,178.35700000000003,9155.584
bamtoh5,11487672747,8,2000,126.69860000000001,14269.6448
